lake.ID,lake.name,region,temperature,fish_PA,stocking,elevation,max_depth,area,richness,fish_PA_bin
288,Dragon,YUK SOUTH,16,Present,No Record,851.9,10,730,5,1
289,Bruce,YUK SOUTH,16.4,Present,No Record,840.3,35,250,5,1
291,Little Salmon,YUK SOUTH,13.1,Present,No Record,608,96,5260,6,1
292,Moraine,YUK SOUTH,14,Present,No Record,910,32,420,4,1
293,Frenchman,YUK SOUTH,16,Present,No Record,560.4,39,1410,8,1
294,YUK6 (Little Fox),YUK SOUTH,20,Present,No Record,823,49,89,5,1
295,Von Wilczek,YUK NORTH,14.4,Present,No Record,561.8,3.7,570,3,1
297,YUK7 (Twin),YUK SOUTH,17.6,Present,Stocked,634,27,163,2,1
298,Tatchum,YUK SOUTH,14.5,Present,No Record,561.2,53,660,6,1
299,Braeburn,YUK SOUTH,15.3,Present,No Record,682,36.5,600,7,1
300,Quiet,YUK SOUTH,12.3,Present,No Record,758,100,5300,4,1
301,Squanga,YUK SOUTH,11.2,Present,No Record,790,40,1110,7,1
302,Summit,YUK SOUTH,14.1,Present,No Record,838,13,160,4,1
303,Dalayee,YUK SOUTH,11.2,Present,No Record,970,46,1110,3,1
305,Teenah,YUK SOUTH,12,Present,No Record,872.6,19.2,250,3.5,1
306,Little Teslin,YUK SOUTH,13.2,Present,No Record,790,20,320,7,1
307,Swan2,BC NORTH,11.43333333,Present,No Record,841,65,890,5.333333333,1
309,Wolf,YUK SOUTH,12.2,Present,No Record,991,66,7440,4,1
310,Jo-Jo,YUK SOUTH,10.6,Present,No Record,888,52,660,5,1
